Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,population,rateKill
2321366,4-Jun-22,Arkansas,Jonesboro,216 S Gee St,1,1,N/A,35.842684,-90.725425,1,range_interpolation,216,S Gee St,,,Jonesboro,AR,Craighead County,72401,US,TIGER/Line® dataset from the US Census Bureau,525,0.19
2320588,4-Jun-22,Pennsylvania,Philadelphia,Richmond St and Wheatsheaf Ln,1,0,N/A,39.991346,-75.085165,1,intersection,,Richmond St,,,Philadelphia,PA,Philadelphia County,19137,US,TIGER/Line® dataset from the US Census Bureau,,
2321262,4-Jun-22,Louisiana,New Orleans,8500 block of the I-10 Service Rd,1,0,N/A,29.958304,-90.077,0.5,place,,,,,New Orleans,LA,Orleans Parish,70112,US,TIGER/Line® dataset from the US Census Bureau,,
2321258,4-Jun-22,New York,Syracuse (Solvay),100 block of Hazard St,1,0,N/A,43.02143,-76.197701,0.5,place,,,,,Syracuse,NY,Onondaga County,13201,US,TIGER/Line® dataset from the US Census Bureau,,
2321256,4-Jun-22,Iowa,Dubuque,1913 Central Ave,1,0,N/A,42.510655,-90.669796,1,rooftop,1913,Central Ave,,,Dubuque,IA,Dubuque County,52001,US,Dubuque,784,0.128
2321240,4-Jun-22,New York,Rochester,221 Emerson St,1,1,N/A,43.173402,-77.63561,1,rooftop,221,Emerson St,,,Rochester,NY,Monroe County,14613,US,City of Rochester,1171,0.085
2321219,3-Jun-22,North Carolina,Goldsboro,N George St and Pearson St,1,1,N/A,35.396333,-77.995204,1,intersection,,N George St,,,Goldsboro,NC,Wayne County,27530,US,TIGER/Line® dataset from the US Census Bureau,,
2321203,3-Jun-22,Nevada,Las Vegas,1000 block of Sierra Vista Dr,1,1,N/A,36.18262,-115.233656,0.5,range_interpolation,1000,N Torrey Pines Dr,,,Las Vegas,NV,Clark County,89107,US,TIGER/Line® dataset from the US Census Bureau,1318,0.076
2320247,3-Jun-22,North Carolina,Charlotte,10015 Madison Square Pl,1,0,N/A,35.352846,-80.857634,1,rooftop,10015,Madison Square Pl,,,Charlotte,NC,Mecklenburg County,28216,US,Mecklenburg,2469,0.041
2320338,3-Jun-22,New Jersey,East Orange,533 Dr Martin Luther King Jr Blvd,1,0,N/A,40.766438,-74.218622,1,rooftop,533,Martin Luther King Jr Blvd,,,East Orange,NJ,Essex County,7018,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",994,0.101
2320341,3-Jun-22,Indiana,Indianapolis,8800 block of Montery Ct,1,0,N/A,39.775092,-86.13216,0.5,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau,,
2321166,3-Jun-22,North Carolina,Maxton,200 block of Revels Rd,1,0,N/A,34.71326,-79.319049,0.9,range_interpolation,200,Revels Rd,,,Maxton,NC,Robeson County,28364,US,TIGER/Line® dataset from the US Census Bureau,605,0.165
2321164,3-Jun-22,Arizona,Phoenix,39th Ave and Grand Ave,1,0,N/A,33.441415,-112.143221,0.8,intersection,,S 39th Ave,,,Phoenix,AZ,Maricopa County,85009,US,TIGER/Line® dataset from the US Census Bureau,,
2320107,3-Jun-22,South Carolina,West Columbia,Feather Run Trail,1,0,N/A,34.016906,-81.11224,1,street_center,,Feather Run Trl,,,West Columbia,SC,Lexington County,29169,US,TIGER/Line® dataset from the US Census Bureau,1873,0.053
2320189,3-Jun-22,Mississippi,Horn Lake,1615 Commerce Pkwy,2,0,N/A,34.950609,-90.03355,0.5,place,,,,,Horn Lake,MS,Desoto County,38637,US,TIGER/Line® dataset from the US Census Bureau,,
2320344,3-Jun-22,New Jersey,West New York,311 59th St,1,1,N/A,40.786583,-74.013731,1,rooftop,311,59th St,,,West New York,NJ,Hudson County,7093,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",2110,0.047
2320232,3-Jun-22,North Carolina,Gastonia,Diane 29 Theater Rd,1,0,N/A,35.53971,-79.130864,1,state,,,,,,NC,,,US,TIGER/Line® dataset from the US Census Bureau,,
2321067,3-Jun-22,South Carolina,Warrenville,100 block of Peltzer St,1,1,N/A,33.526017,-81.795561,0.5,place,,,,,Warrenville,SC,Aiken County,29851,US,TIGER/Line® dataset from the US Census Bureau,,
2321026,3-Jun-22,Minnesota,Saint Paul,721 E 7th St,1,0,N/A,44.959231,-93.071931,1,rooftop,721,7th St E,,,Saint Paul,MN,Ramsey County,55106,US,Ramsey County,849,0.118
2320292,3-Jun-22,West Virginia,Birch River,537 Old Rte 19,2,2,N/A,38.492882,-80.757712,1,range_interpolation,537,Old Rte 19,,,Birch River,WV,Nicholas County,26610,US,TIGER/Line® dataset from the US Census Bureau,1343,0.149
2320397,3-Jun-22,Wisconsin,New Lisbon,W6128 Woodland Hills Rd,1,1,N/A,43.8577,-90.073921,1,rooftop,W6128,Woodland Hills Rd,,,New Lisbon,WI,Juneau County,53950,US,Statewide WI,964,0.104
2320138,3-Jun-22,Illinois,Naperville,Bond St and McDowell Rd,1,0,N/A,41.794233,-88.2023,0.58,intersection,,Bond St,,,Naperville,IL,Dupage County,60563,US,TIGER/Line® dataset from the US Census Bureau,,
2321861,3-Jun-22,California,Bakersfield,700 block of Brundage Ln,1,0,N/A,35.384337,-119.020562,0.5,place,,,,,Bakersfield,CA,Kern County,93301,US,TIGER/Line® dataset from the US Census Bureau,,
2320361,3-Jun-22,Virginia,Chester,10960 block of Stepney Rd,1,5,N/A,37.374976,-77.431044,0.9,range_interpolation,10960,Stepney Rd,,,Chester,VA,Chesterfield County,23831,US,TIGER/Line® dataset from the US Census Bureau,3422,0.029
2320348,3-Jun-22,New York,Niagara Falls,8015 Niagara Falls Blvd,1,0,N/A,43.088723,-78.971956,1,rooftop,8015,Niagara Falls Blvd,,,Niagara Falls,NY,Niagara County,14304,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",1138,0.088
2320879,3-Jun-22,California,Long Beach,1600 block of 14th St,1,1,N/A,33.771341,-118.214709,1,rooftop,1600,St,,,Long Beach,CA,Los Angeles County,90802,US,City of Long Beach,16,6.25
2320862,3-Jun-22,Nebraska,Omaha,S 30th St and T St,1,3,N/A,41.202514,-95.957717,0.87,intersection,,S 30th St,,,Omaha,NE,Douglas County,68107,US,TIGER/Line® dataset from the US Census Bureau,,
2321835,3-Jun-22,California,Bakersfield,100 block of Fishering Dr,1,0,N/A,35.590307,-118.489415,0.8,rooftop,100,North Dr,,,Bodfish,CA,Kern County,93205,US,Kern,1380,0.072
2320859,3-Jun-22,Maryland,Baltimore,1000 block of E Lanvale St,1,0,N/A,39.053218,-76.502297,0.7,nearest_rooftop_match,1001,Blakiston Ct,,,Arnold,MD,Anne Arundel County,21012,US,Anne Arundel,2742,0.036
2320412,3-Jun-22,Texas,Sinton,500 block of Sodville St,1,0,N/A,28.012823,-97.556615,0.5,place,,,,,Sinton,TX,San Patricio County,78387,US,TIGER/Line® dataset from the US Census Bureau,,
2320021,3-Jun-22,Colorado,Denver,W 35th Ave and Grove St,1,0,N/A,39.765578,-105.027591,1,intersection,,Grove St,,,Denver,CO,Denver County,80211,US,TIGER/Line® dataset from the US Census Bureau,,
2321427,3-Jun-22,Nevada,Reno,3800 S Virginia St,1,0,N/A,39.488889,-119.793981,1,rooftop,3800,S Virginia St,,,Reno,NV,Washoe County,89502,US,Washoe,1809,0.055
2320750,3-Jun-22,Florida,Lakeland,3925 N Combee Rd,1,0,N/A,28.092727,-81.905437,1,rooftop,3925,Combee Rd N,,,Lakeland,FL,Polk County,33805,US,Polk,321,0.312
2319901,3-Jun-22,California,Oakland,2300 block of E 20th St,1,0,N/A,37.863564,-122.262321,0.78,nearest_rooftop_match,2310,Blake St,,,Berkeley,CA,Alameda County,94704,US,Alameda,1758,0.057
2320564,3-Jun-22,Indiana,Indianapolis,600 block of N Dearborn St,1,0,N/A,39.140897,-84.975868,1,county,,,,,,IN,Dearborn County,,US,US Census Bureau,,
2319777,3-Jun-22,Florida,Fort Walton Beach,1450 Miracle Strip Pkwy SE,1,0,N/A,30.394403,-86.591196,0.95,rooftop,1450,Hwy 98 E,,,Fort Walton Beach,FL,Okaloosa County,32548,US,Okaloosa,190,0.526
2319888,3-Jun-22,Texas,San Antonio,4900 block of War Horse Dr,1,0,N/A,29.565093,-98.391495,0.8,nearest_rooftop_match,4902,Dare Ln,,,San Antonio,TX,Bexar County,78217,US,San Antonio,1341,0.075
2319857,3-Jun-22,Texas,Houston,9700 block of Beechnut St,1,0,N/A,29.813142,-95.309789,0.5,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau,,
2319785,3-Jun-22,Texas,Dallas,2322 Scotland Dr,1,1,N/A,32.700294,-96.784045,1,rooftop,2322,Scotland Dr,,,Dallas,TX,Dallas County,75216,US,Dallas,1976,0.051
2320392,3-Jun-22,Pennsylvania,Hopwood,79 Atlas Rd,2,0,N/A,39.884288,-79.706165,0.95,range_interpolation,79,Atlas Ln,,,Hopwood,PA,Fayette County,15445,US,TIGER/Line® dataset from the US Census Bureau,1924,0.104
2320598,3-Jun-22,Ohio,Westerville,5600 block of Caledonia Dr,2,0,N/A,40.631257,-82.958179,0.5,place,,,,,Caledonia,OH,Marion County,43314,US,TIGER/Line® dataset from the US Census Bureau,,
2320846,3-Jun-22,Arizona,Phoenix,13th Ave and Vogel Ave,1,0,N/A,33.573079,-112.089057,0.8,intersection,,N 13th Ave,,,Phoenix,AZ,Maricopa County,85021,US,TIGER/Line® dataset from the US Census Bureau,,
2320523,3-Jun-22,Mississippi,Gulfport,5000 block of Old Pass Rd,1,0,N/A,30.470838,-89.061113,0.7,street_center,,Rd,,,Gulfport,MS,Harrison County,39503,US,TIGER/Line® dataset from the US Census Bureau,1732,0.058
2320446,3-Jun-22,Alabama,Birmingham,180 State Farm Pkwy,1,0,N/A,33.449869,-86.823834,1,rooftop,180,State Farm Pkwy,,,Birmingham,AL,Jefferson County,35209,US,Jefferson,1023,0.098
2320210,3-Jun-22,Virginia,Roanoke,3800 block of Williamson Rd,1,0,N/A,37.274175,-79.95786,0.5,place,,,,,Roanoke,VA,Roanoke City,24003,US,TIGER/Line® dataset from the US Census Bureau,,
2320110,3-Jun-22,Tennessee,Memphis,Austin Peay Hwy and James Rd,1,0,N/A,35.205309,-89.921545,0.8,intersection,,Austin Peay Hwy,,,Memphis,TN,Shelby County,38128,US,TIGER/Line® dataset from the US Census Bureau,,
2321230,3-Jun-22,Alabama,Mobile,Arthur St and Lincoln Ave,1,0,N/A,30.744494,-88.095886,1,street_center,,Arthur Ave,,,Mobile,AL,Mobile County,36610,US,TIGER/Line® dataset from the US Census Bureau,896,0.112
2319312,2-Jun-22,Virginia,Hampton,260 Marcella Rd,1,0,N/A,37.050639,-76.394946,1,rooftop,260,Marcella Rd,,,Hampton,VA,Hampton City,23666,US,Virginia Geographic Information Network (VGIN),2814,0.036
2319494,2-Jun-22,California,San Bernardino,5th St and D St,1,0,N/A,35.747889,-117.39749,1,intersection,,5th St,,,Trona,CA,San Bernardino County,93562,US,TIGER/Line® dataset from the US Census Bureau,,
2318791,2-Jun-22,Ohio,Toledo,1130 Sisson Dr,1,0,N/A,41.63034,-83.519458,1,rooftop,1130,Sisson Dr,,,Toledo,OH,Lucas County,43605,US,Lucas,1941,0.052
2320315,2-Jun-22,New Hampshire,Windham,Woodvue Rd and W Shore Rd,1,0,N/A,42.798655,-71.265332,0.68,intersection,,W Shore Rd,,,Windham,NH,Rockingham County,3087,US,TIGER/Line® dataset from the US Census Bureau,,
2319354,2-Jun-22,Illinois,Chicago,7107 S Champlain Ave,1,1,N/A,41.765704,-87.609072,1,range_interpolation,7107,S Champlain Ave,,,Chicago,IL,Cook County,60619,US,TIGER/Line® dataset from the US Census Bureau,638,0.157
2320283,2-Jun-22,Michigan,Burton,4400 Kings Ln,1,0,N/A,42.979521,-83.688931,1,rooftop,4400,Kings Ln,,,Burton,MI,Genesee County,48529,US,Genesee,776,0.129
2319361,2-Jun-22,District of Columbia,Washington,North Capitol St NE and P St NW,1,1,N/A,38.911425,-77.009025,0.81,intersection,,N Capitol St NE,,,Washington,DC,District of Columbia,20001,US,TIGER/Line® dataset from the US Census Bureau,,
2319408,2-Jun-22,Michigan,Ypsilanti,1632 Laurel Bay Dr,1,0,N/A,42.223193,-83.592051,1,range_interpolation,1632,Laurel Bay Dr,,,Ypsilanti,MI,Washtenaw County,48198,US,TIGER/Line® dataset from the US Census Bureau,816,0.123
2319653,2-Jun-22,North Carolina,Richlands,Huffmantown Rd,1,0,N/A,34.928366,-77.552837,1,street_center,,Huffmantown Rd,,,Richlands,NC,Onslow County,28574,US,TIGER/Line® dataset from the US Census Bureau,5706,0.018
2319347,2-Jun-22,California,Sacramento,Lampasas Ave and Edgewater Rd,1,0,N/A,38.613538,-121.461683,0.84,intersection,,Edgewater Rd,,,Sacramento,CA,Sacramento County,95815,US,TIGER/Line® dataset from the US Census Bureau,,
2319608,2-Jun-22,North Carolina,Kannapolis,247 James St,2,0,N/A,35.488579,-80.615807,1,rooftop,247,James St,,,Kannapolis,NC,Cabarrus County,28083,US,Cabarrus,875,0.229
2319309,2-Jun-22,Georgia,Riverdale,6437 GA-85,1,0,N/A,33.579481,-84.412468,1,rooftop,6437,Highway 85,,,Riverdale,GA,Clayton County,30274,US,Clayton,1299,0.077
2319938,2-Jun-22,Georgia,Atlanta,540 Humphries St SW,1,0,N/A,33.742414,-84.405867,1,range_interpolation,540,Humphries St SW,,,Atlanta,GA,Fulton County,30312,US,TIGER/Line® dataset from the US Census Bureau,3368,0.03
2319147,2-Jun-22,Georgia,Decatur,2800 block of Panthersville Ct,1,0,N/A,33.772554,-84.291723,0.5,place,,,,,Decatur,GA,Dekalb County,30030,US,TIGER/Line® dataset from the US Census Bureau,,
2320178,2-Jun-22,Oklahoma,Oklahoma City,8800 block of NW 115th St,1,0,N/A,35.491608,-97.562817,0.5,place,,,,,Oklahoma City,OK,Oklahoma County,73101,US,TIGER/Line® dataset from the US Census Bureau,,
2319540,2-Jun-22,Tennessee,Nashville,701 Division St,1,1,N/A,36.149512,-86.778235,1,rooftop,701,Division St,,,Nashville,TN,Davidson County,37203,US,City of Nashville,2903,0.034
2318812,2-Jun-22,Texas,Houston,9350 Country Creek St,1,0,N/A,29.678723,-95.550513,1,rooftop,9350,Country Creek Dr,,,Houston,TX,Harris County,77036,US,Greater Houston,1285,0.078
2320893,2-Jun-22,California,Azusa,200 block of S Noble Place,1,0,N/A,34.13529,-117.91506,0.5,place,,,,,Azusa,CA,Los Angeles County,91702,US,TIGER/Line® dataset from the US Census Bureau,,
2318878,2-Jun-22,California,Coachella,85300 block of Cairo St,1,0,N/A,33.6803,-116.17389,0.5,place,,,,,Coachella,CA,Riverside County,92236,US,TIGER/Line® dataset from the US Census Bureau,,
2318985,2-Jun-22,Illinois,New Athens,9300 block of Golden Rule Mine Rd,1,2,N/A,38.013132,-89.899569,0.5,place,,,,,Menard,IL,Randolph County,62259,US,TIGER/Line® dataset from the US Census Bureau,,
2318928,2-Jun-22,Louisiana,New Orleans,2300 block of Saint Anthony St,1,0,N/A,29.958304,-90.077,0.5,place,,,,,New Orleans,LA,Orleans Parish,70112,US,TIGER/Line® dataset from the US Census Bureau,,
