Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
2321593,6/4/2022,South Carolina,Summerton,US-15 and St Paul Rd,1,7,N/A,33.55156,-80.322756,0.5,place,,,,,Summerton,SC,Clarendon County,29148,US,TIGER/Line® dataset from the US Census Bureau
2320914,6/4/2022,Illinois,Chicago,9109 S Paxton Ave,0,1,N/A,41.729444,-87.570326,1,rooftop,9109,S Paxton Ave,,,Chicago,IL,Cook County,60617,US,City of Chicago
2320760,6/4/2022,Louisiana,Shreveport,Spring St and Travis St,0,3,N/A,32.515794,-93.747613,0.8,intersection,,N Spring St,,,Shreveport,LA,Caddo Parish,71101,US,TIGER/Line® dataset from the US Census Bureau
2320608,6/4/2022,Ohio,Columbus,5000 block of Old Livingston Ave,0,1,N/A,40.100924,-83.013402,0.5,place,,,,,Columbus,OH,Franklin County,43085,US,TIGER/Line® dataset from the US Census Bureau
2320731,6/4/2022,Indiana,Indianapolis,6700 block of Kingman Dr,0,1,N/A,39.775092,-86.13216,0.5,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
2321266,6/4/2022,Pennsylvania,Philadelphia,200 block of South St,3,12,N/A,40.001811,-75.11787,0.5,place,,,,,Philadelphia,PA,Philadelphia County,19101,US,TIGER/Line® dataset from the US Census Bureau
2321500,6/4/2022,Georgia,Macon,300 Block of Jones Ave,1,3,N/A,32.804382,-83.617554,0.5,place,,,,,Macon,GA,Bibb County,31201,US,TIGER/Line® dataset from the US Census Bureau
2320708,6/4/2022,Illinois,Chicago,300 block of S Cicero Ave,0,1,N/A,41.838036,-87.75987,0.5,place,,,,,Cicero,IL,Cook County,60804,US,TIGER/Line® dataset from the US Census Bureau
2320688,6/4/2022,Illinois,Chicago,300 block of W 59th Pl,0,1,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2320430,6/4/2022,Texas,Houston,9000 block of Town Park Dr,0,2,N/A,29.813142,-95.309789,0.5,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau
2321529,6/4/2022,Missouri,Saint Louis,N 8th St and Chestnut St,0,2,N/A,38.627029,-90.192973,1,intersection,,Chestnut St,,,Saint Louis,MO,St. Louis City,63101,US,TIGER/Line® dataset from the US Census Bureau
2320673,6/4/2022,Texas,El Paso (Socorro),10851 Thunder Rd,0,5,N/A,31.658279,-106.252436,1,range_interpolation,10851,Thunder Rd,,,El Paso,TX,El Paso County,79927,US,TIGER/Line® dataset from the US Census Bureau
2321508,6/4/2022,Missouri,Kansas City,4445 Main St,0,2,N/A,39.045894,-94.586354,1,rooftop,4445,Main St,,,Kansas City,MO,Jackson County,64111,US,Jackson
2321505,6/4/2022,Georgia,Macon,3705 Irwinton Rd,0,1,N/A,32.840786,-83.551795,1,rooftop,3705,Irwinton Rd,,,Macon,GA,Bibb County,31217,US,Bibb
2321494,6/4/2022,Florida,Kissimmee (Poinciana),Saint Tropez Ct,1,1,N/A,28.140294,-81.458406,0.4,place,,,,,Poinciana,FL,Polk County,34759,US,TIGER/Line® dataset from the US Census Bureau
2321492,6/4/2022,Maryland,Baltimore,2400 block of Washington Blvd,0,1,N/A,39.28073,-76.600152,0.7,street_center,,Block St,,,Baltimore,MD,Baltimore City,21231,US,TIGER/Line® dataset from the US Census Bureau
2320637,6/4/2022,Pennsylvania,Pittsburgh,100 block of S 17th St,0,1,N/A,40.47441,-79.950968,0.5,place,,,,,Pittsburgh,PA,Allegheny County,15201,US,TIGER/Line® dataset from the US Census Bureau
2321481,6/4/2022,Maryland,Towson,185 E Pennsylvania Ave,1,1,N/A,39.400405,-76.60031,1,range_interpolation,185,E Pennsylvania Ave,,,Towson,MD,Baltimore County,21286,US,TIGER/Line® dataset from the US Census Bureau
2321476,6/4/2022,Florida,Jacksonville,400 W 24th St,0,1,N/A,30.359321,-81.659386,1,range_interpolation,400,W 24th St,,,Jacksonville,FL,Duval County,32206,US,TIGER/Line® dataset from the US Census Bureau
