Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
2301494,5/13/2022,Wisconsin,Milwaukee,Water St and Juneau Ave,0,17,N/A,43.045726,-87.911065,0.8,intersection,,E Juneau Ave,,,Milwaukee,WI,Milwaukee County,53202,US,TIGER/Line® dataset from the US Census Bureau
2300713,5/12/2022,Arkansas,Hot Springs National Park (Hot Springs),134 Convention Blvd,1,4,N/A,34.509036,-93.05164,1,rooftop,134,Convention Blvd,,,Hot Springs National Park,AR,Garland County,71901,US,Garland
2299660,5/11/2022,Illinois,Chicago,6800 block of S Ashland Ave,0,4,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2299126,5/11/2022,Indiana,Indianapolis,701 Canal Walk,0,4,N/A,39.777577,-86.166757,0.95,range_interpolation,701,Canal Ct,,,Indianapolis,IN,Marion County,46202,US,TIGER/Line® dataset from the US Census Bureau
2299793,5/11/2022,Missouri,Saint Louis,5000 block of N Kingshighway Blvd,1,3,N/A,37.53144,-90.93318,0.5,place,,,,,Black,MO,Reynolds County,63625,US,TIGER/Line® dataset from the US Census Bureau
2300830,5/11/2022,New Jersey,Paterson,36 Essex St,1,4,N/A,40.912567,-74.165555,1,rooftop,36,Essex St,,,Paterson,NJ,Passaic County,7501,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
2298872,5/10/2022,Maryland,Baltimore,2800 block of Boarman Ave,0,5,N/A,39.28073,-76.600152,0.7,street_center,,Block St,,,Baltimore,MD,Baltimore City,21231,US,TIGER/Line® dataset from the US Census Bureau
2298836,5/10/2022,Illinois,Chicago,4800 block of S Ada St,1,4,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2299407,5/10/2022,Illinois,Chicago,6400 block of S Richards Dr,0,6,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2298519,5/10/2022,Pennsylvania,Philadelphia,Allegheny Ave and G St,0,4,N/A,39.996753,-75.115447,0.8,intersection,,E Allegheny Ave,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
