Incident ID,Incident Date,State,City Or County,Address,Killed,Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
2307019,19-May-22,Kentucky,Louisville,7121 Fern Ridge Rd,1,0,N/A,38.165942,-85.63137,1,rooftop,7121,Fern Ridge Rd,,,Louisville,KY,Jefferson County,40228,US,"Metro Louisville,  LOJIC partners"
2306827,19-May-22,Kentucky,Louisville,100 block of Harlan Ave,1,0,N/A,36.84314,-83.32185,0.5,place,,,,,Harlan,KY,Harlan County,40831,US,TIGER/Line® dataset from the US Census Bureau
2306950,19-May-22,Minnesota,Minneapolis (Robbinsdale),36th Ave and Bottineau Blvd,2,0,N/A,45.032187,-93.338561,0.45,place,,,,,Robbinsdale,MN,Hennepin County,55422,US,TIGER/Line® dataset from the US Census Bureau
2306139,18-May-22,Tennessee,Dyersburg,470 Mall Blvd,1,0,N/A,36.06351,-89.388603,1,rooftop,470,Mall Blvd,,,Dyersburg,TN,Dyer County,38024,US,Statewide TN
2306001,18-May-22,Tennessee,Murfreesboro,2650 Middle Tennessee Blvd,1,1,N/A,35.852415,-86.369541,1,rooftop,2650,Middle Tennessee Blvd,,,Murfreesboro,TN,Rutherford County,37130,US,City of Murfreesboro
2306548,18-May-22,California,Oakland,I 580 and Seminary Ave,1,2,N/A,37.780364,-122.174579,0.71,intersection,,Seminary,,,Oakland,CA,Alameda County,94605,US,TIGER/Line® dataset from the US Census Bureau
2306883,18-May-22,Oregon,Gresham,19000 block of Southeast Yamhill St,1,0,N/A,45.351892,-123.23484,0.5,place,,,,,Yamhill,OR,Yamhill County,97148,US,TIGER/Line® dataset from the US Census Bureau
2306156,18-May-22,Louisiana,Carencro,100 block of Sateen Royale Cir,1,0,N/A,30.31714,-92.04901,0.5,place,,,,,Carencro,LA,Lafayette Parish,70520,US,TIGER/Line® dataset from the US Census Bureau
2305384,18-May-22,Texas,Houston,9275 Richmond Ave,1,0,N/A,29.727954,-95.527573,1,rooftop,9275,Richmond Ave,,,Houston,TX,Harris County,77063,US,Greater Houston
2306732,18-May-22,Missouri,Independence,E 39th St S and S Pleasant St,1,0,N/A,39.050491,-94.423711,0.95,intersection,,E 39th Ct,,,Independence,MO,Jackson County,64055,US,TIGER/Line® dataset from the US Census Bureau
2306541,18-May-22,Georgia,Atlanta,3101 Piedmont Rd,1,1,N/A,33.840761,-84.369646,0.9,range_interpolation,3101,Piedmont Rd NE,,,Atlanta,GA,Fulton County,30305,US,TIGER/Line® dataset from the US Census Bureau
2306416,18-May-22,Texas,Kemah,1500 Marina Bay Dr,1,0,N/A,29.541508,-95.042193,1,range_interpolation,1500,Marina Bay Dr,,,Kemah,TX,Galveston County,77565,US,TIGER/Line® dataset from the US Census Bureau
2306401,18-May-22,Texas,Lubbock,2323 Glenna Goodacre Blvd,1,0,N/A,33.58812,-101.867306,1,rooftop,2323,Glenna Goodacre Blvd,,,Lubbock,TX,Lubbock County,79401,US,Lubbock
2306515,18-May-22,Texas,Houston,11100 block of Cheeves Dr,1,0,N/A,29.813142,-95.309789,0.5,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau
2305354,18-May-22,Ohio,Bucyrus,627 W Mansfield St,1,0,N/A,40.809468,-82.983861,1,rooftop,627,W Mans Field St,,,Bucyrus,OH,Crawford County,44820,US,Crawford
2306565,18-May-22,California,Oakland,2800 block of Brookdale Ave,1,0,N/A,37.786027,-122.223779,0.5,place,,,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
